AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ1	LossQ2	Time
551.2474	364.6106	841.5327	37.03539	671.0279	264.25742	866.5449	149.69962	681.6667	827.4	119999	3485.007	34501.69	54.32195	-37.232994	3485.0195	34501.812	55.82203	-30.262407	-35.948124	1.7703333	1.7385654	1143.771659374237
490.2469	431.5727	1014.9901	61.060173	721.2647	331.25092	1030.8234	57.274105	545.0	815.7	121999	3535.9346	35005.867	56.974243	-28.28387	3535.8853	35005.383	54.67417	-31.397478	-36.417213	1.7804962	1.7616886	1164.932686805725
598.97687	228.3719	782.2673	277.04037	531.93225	352.434	926.4135	0.77125305	738.6667	637.6	123999	3589.4966	35536.137	56.70744	-37.73121	3589.5542	35536.707	56.89677	-32.023396	-36.935425	1.7507241	1.7283486	1185.297678232193
437.81873	367.51044	850.32654	52.45182	920.3965	60.049496	1045.9387	845.77295	529.25	1000.0	125999	3634.9556	35986.176	56.38465	-34.856895	3634.9294	35985.918	56.955902	-31.42263	-37.41925	1.7455481	1.7332284	1211.4731352329254
804.0355	28.453522	832.4891	775.58203	653.7898	325.12424	1030.9575	57.552288	1000.0	747.7	127999	3689.488	36526.05	61.58341	-26.772243	3689.5022	36526.19	59.251087	-19.877077	-37.948807	1.7643069	1.7250779	1231.7122178077698
629.0249	252.88943	830.13184	272.3531	639.0785	319.2301	930.90735	117.93621	761.6667	681.3	129999	3736.1963	36988.465	61.03182	-23.797947	3736.1904	36988.402	60.446815	-25.738386	-38.382103	1.7550896	1.7372721	1251.5490226745605
497.30502	319.4997	816.8047	177.80534	560.36096	358.95847	1036.2095	73.75153	575.0	584.4	131999	3787.404	37495.42	58.659565	-24.73208	3787.3823	37495.203	61.985245	-20.475655	-38.871613	1.7404865	1.7309219	1269.761928319931
837.571	29.333923	866.9049	808.23706	739.7124	234.59062	918.7764	45.783848	1000.0	904.0	133999	3842.008	38035.996	60.19402	-29.062374	3841.9866	38035.78	60.597214	-22.517302	-39.48446	1.7700391	1.7441051	1292.4625968933105
861.35236	9.974304	871.32666	851.37805	604.0653	401.8	1051.1672	10.419986	1000.0	642.1	135999	3896.824	38578.67	59.755157	-36.96897	3896.826	38578.69	59.17723	-25.767958	-39.981422	1.778195	1.7495588	1312.799213886261
337.91763	344.78088	814.8622	11.2751465	786.8796	214.56514	894.4186	149.3505	438.0	910.7	137999	3936.5093	38971.56	63.065903	-25.852577	3936.5193	38971.656	60.919014	-30.170177	-40.39301	1.816594	1.7861972	1335.9075152873993
877.0463	51.47296	928.5193	825.57336	649.46735	358.55795	942.15686	28.087584	1000.0	726.1	139999	3975.5354	39357.92	61.412327	-27.628239	3975.5361	39357.93	62.089066	-27.379498	-40.77501	1.8084768	1.7907546	1356.6595890522003
531.4439	356.7227	820.1024	28.807772	575.51306	316.89307	826.64197	12.224356	674.3333	728.5	141999	4014.8987	39747.613	65.35795	-25.807032	4014.8772	39747.402	62.456078	-23.756813	-41.16012	1.7937373	1.76704	1378.2640135288239
741.6328	50.384247	792.0171	691.2486	554.3038	337.04965	859.737	37.185913	1000.0	649.8	143999	4060.028	40194.395	64.85101	-27.429792	4060.0115	40194.234	66.694	-30.234037	-41.615673	1.8407761	1.8358574	1397.1187391281128
456.17896	368.03317	863.2452	26.427946	561.8495	356.71066	887.2026	-5.188273	540.25	820.1	145999	4107.3496	40662.883	62.60421	-28.064032	4107.3037	40662.426	65.17901	-26.823492	-42.06684	1.799333	1.775023	1420.2567698955536
342.64728	313.9141	696.7591	14.309387	521.59015	316.06415	797.0872	20.207184	523.5	647.7	147999	4138.029	40966.605	64.4211	-30.177645	4137.9556	40965.88	63.686356	-24.130114	-42.38645	1.8642775	1.8511195	1439.0946033000946
941.97614	25.488098	967.46423	916.48804	841.33264	235.34554	1104.703	174.65144	1000.0	913.4	149999	4165.295	41236.54	64.32704	-31.292955	4165.3027	41236.613	63.593357	-31.168547	-42.64469	1.8558342	1.850562	1465.3902320861816
799.96063	7.803528	807.76416	792.1571	601.1716	336.8909	945.799	56.377075	1000.0	659.3	151999	4200.7764	41587.805	63.591076	-25.554335	4200.7573	41587.613	64.99162	-19.513186	-42.985367	1.8086665	1.8313097	1484.5103087425232
657.6379	296.66516	879.97644	238.3461	481.15106	322.1497	850.8091	12.316698	736.0	580.5	153999	4232.1455	41898.36	63.629578	-23.241762	4232.1523	41898.43	63.63538	-25.275198	-43.30802	1.8155769	1.8264916	1503.419712305069
653.789	143.60292	797.3919	510.18607	451.3619	338.79758	854.2447	28.001692	1000.0	619.2	155999	4258.0386	42154.703	64.21108	-37.480297	4258.0435	42154.754	64.66332	-27.381725	-43.58171	1.8276621	1.8197619	1523.267471075058
673.4455	92.79401	766.2395	580.6515	467.62842	365.37146	914.49896	16.085106	1000.0	540.5	157999	4292.8286	42499.125	65.046844	-23.779783	4292.7847	42498.688	65.86529	-35.29814	-43.88203	1.8184165	1.8363656	1541.512748003006
555.511	319.78693	830.4194	107.06714	703.5951	249.69684	1013.88574	210.92361	709.0	738.9	159999	4327.217	42839.57	67.116005	-29.3246	4327.2036	42839.438	65.2766	-26.322786	-44.21871	1.8189821	1.8094434	1564.8523161411285
223.64816	236.73656	692.14935	71.66091	675.40063	285.56915	909.3925	39.623337	276.4	815.2	161999	4360.551	43169.574	64.34441	-24.748241	4360.612	43170.176	69.6979	-26.372568	-44.59	1.8432467	1.8393841	1585.6473059654236
718.4645	49.009613	767.4741	669.4549	682.4712	214.2322	863.82007	111.06208	1000.0	909.1	163999	4379.9165	43361.297	65.38093	-29.190447	4379.8916	43361.047	65.94596	-27.95602	-44.72167	1.8948871	1.8714238	1609.8113667964935
776.88214	18.000854	794.883	758.8813	554.9211	337.3583	879.35626	53.098724	1000.0	652.5	165999	4415.8467	43717.0	66.93614	-20.934978	4415.8315	43716.85	64.379196	-22.171295	-45.048702	1.9163975	1.930818	1629.2386138439178
855.2166	10.909485	866.1261	844.3071	883.29285	44.293163	953.9274	816.0404	1000.0	1000.0	167999	4443.993	43995.65	62.99028	-25.033812	4444.0073	43995.79	64.96409	-21.258879	-45.361454	1.7976874	1.805885	1653.1602239608765
803.90173	10.270172	814.17194	793.6316	724.4958	297.73996	1059.4442	129.8295	1000.0	825.5	169999	4481.4966	44366.926	65.43894	-23.822752	4481.499	44366.957	66.352875	-22.094343	-45.715652	1.7784177	1.7717769	1676.163381576538
619.09406	219.17288	782.3654	309.28745	682.58136	359.65427	955.2599	85.495285	751.3333	727.8	171999	4505.5117	44604.676	66.19252	-26.46634	4505.5264	44604.824	64.995445	-24.215782	-45.943798	1.7903804	1.81852	1696.8130679130554
441.31854	400.15634	866.60834	30.559189	825.88025	85.08739	967.54456	710.0977	518.25	1000.0	173999	4532.6006	44872.86	66.92282	-22.754055	4532.5557	44872.414	70.31596	-27.91272	-46.2583	1.8043593	1.8020393	1720.7128896713257
771.82635	0.26989746	772.09625	771.55646	733.6178	333.7945	1059.1318	29.354294	1000.0	810.0	175999	4557.225	45116.64	67.16188	-40.634155	4557.243	45116.816	68.241356	-28.186792	-46.48732	1.8466839	1.8365479	1743.39896774292
563.23395	383.47043	857.41406	21.596165	615.7193	369.94302	901.77466	23.920828	674.3333	718.7	177999	4585.7363	45398.902	69.206825	-29.681812	4585.6973	45398.51	66.95358	-25.001917	-46.74589	1.7561578	1.7209585	1765.246201992035
550.10406	342.19168	832.9056	68.61484	830.1257	92.173096	951.3805	579.38904	689.3333	1000.0	179999	4616.103	45699.527	67.91553	-24.471247	4616.1304	45699.8	67.93107	-23.913929	-47.072296	1.7852291	1.7823523	1789.5184981822968
738.17957	65.322174	803.5017	672.85736	626.79553	323.09973	933.593	77.79167	1000.0	730.9	181999	4637.074	45907.145	67.37952	-27.232916	4637.058	45906.984	67.38671	-31.576633	-47.27888	1.7856604	1.7581329	1811.4534828662872
380.7053	245.45168	747.7152	103.76729	798.26685	162.38208	979.0206	363.664	401.0	924.6	183999	4651.114	46046.137	67.056625	-32.753304	4651.085	46045.85	67.5562	-24.72786	-47.456703	1.8649231	1.8399973	1835.408373117447
