AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ1	LossQ2	Time
1051.7362	128.4121	1215.1359	891.7678	1427.6548	49.642494	1504.1409	1323.075	313.33334	428.1	167999	19531.45	193362.6	289.8056	-70.94042	19531.348	193361.61	291.00287	-86.78893	-199.54353	23.364363	23.05875	1368.0915520191193
1270.4807	164.01317	1408.883	979.98737	1860.6106	1028.0681	2899.6636	414.3177	394.2	641.2	169999	19555.877	193604.45	290.3475	-73.587326	19555.871	193604.4	289.25183	-72.0819	-199.818	22.608492	22.485033	1390.9173946380615
1507.9124	310.62344	2020.0731	1184.0771	1755.7871	374.60074	2523.3657	1448.2339	459.5	535.1	171999	19643.885	194475.7	290.9166	-141.97809	19643.867	194475.55	289.44458	-81.55386	-200.6628	23.999254	24.018145	1412.4000957012177
1495.6545	130.02798	1731.1643	1333.6134	2890.5552	105.06021	3091.3047	2719.4019	455.0	977.6	173999	19710.713	195137.33	291.0623	-84.62825	19710.572	195135.94	289.36087	-81.165825	-201.16678	24.602268	24.245857	1440.1855764389038
1045.697	188.83214	1336.863	804.3395	1430.5582	399.4621	2557.3997	1142.9268	320.0	439.5	175999	19731.207	195340.23	291.60922	-64.96111	19731.246	195340.62	289.01913	-86.32237	-201.17065	22.034695	21.91643	1460.5361866950989
1725.8451	609.2138	2715.1855	1181.091	1878.944	275.08786	2454.927	1386.8544	539.25	598.7	177999	19765.348	195678.23	291.31366	-69.95398	19765.441	195679.16	290.95184	-70.70259	-201.69115	22.729551	23.184422	1482.843008518219
1922.1211	555.32275	2389.5847	1141.87	1984.4187	312.24277	2522.7507	1471.6548	617.0	629.3	179999	19826.99	196288.48	294.11362	-55.410248	19827.014	196288.7	290.7006	-171.62872	-202.10588	21.208336	21.458801	1505.9004814624786
1326.6432	114.33326	1456.9092	1172.6688	1549.0955	290.4238	2155.905	1189.0033	421.4	491.2	181999	19935.584	197363.56	292.35596	-95.38753	19935.682	197364.52	289.60098	-66.58929	-203.27023	25.007738	24.148878	1526.3920812606812
1493.2817	370.70425	1908.3251	923.88135	2133.8296	462.47333	2794.303	1617.4584	478.25	676.4	183999	19970.49	197709.17	290.97348	-104.65874	19970.393	197708.22	289.0194	-165.63342	-203.44144	26.015526	25.791014	1549.5137722492218
1070.6349	466.1897	1643.966	174.65466	1149.96	72.55933	1238.4355	970.40564	344.16666	346.8	185999	20005.775	198058.53	292.89612	-45.907543	20005.979	198060.55	290.73004	-98.276375	-203.84904	21.162859	21.267546	1568.195114850998
1413.6163	369.2773	1906.8708	952.29535	1685.6389	118.793976	1802.5771	1486.9948	435.5	505.1	187999	20133.76	199325.58	293.0386	-63.614716	20133.73	199325.28	291.4584	-115.40364	-205.23172	25.324364	24.637363	1589.369981765747
1330.9335	355.77652	1780.1754	943.8921	2325.067	679.55066	3260.4849	1729.3838	403.0	714.8	189999	20207.67	200057.28	291.68695	-68.8704	20207.803	200058.6	293.0307	-68.725945	-205.87022	23.882269	23.758295	1613.3942160606384
2332.5151	662.5034	3119.691	1498.891	1744.0667	299.29883	2487.6824	1524.9502	727.0	537.4	191999	20255.754	200533.31	291.36487	-70.46712	20255.627	200532.06	291.84363	-85.6474	-206.2404	21.133503	20.888948	1635.049946308136
1311.7689	474.55084	2054.7014	840.9768	3008.3152	133.0232	3079.8425	2611.5305	414.8	977.4	193999	20288.777	200860.27	291.566	-113.28572	20288.604	200858.55	294.24725	-111.65997	-206.4654	25.3209	24.411776	1662.353568315506
1328.5459	443.6514	2019.794	796.8582	1438.7383	253.17136	1815.8602	1196.579	409.0	432.2	195999	20340.346	201370.81	292.10345	-121.614914	20340.354	201370.9	291.95233	-155.0432	-207.10225	24.476372	24.066578	1682.1996819972992
1534.1295	450.07315	2108.028	886.50037	1184.7039	250.20992	1518.1177	826.25146	464.0	351.7	197999	20379.814	201761.6	293.89813	-81.47228	20379.84	201761.83	294.4076	-111.16074	-207.07458	21.247305	20.59313	1700.8741116523743
