AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
720.9611	430.12622	1508.4574	158.13116	224.39563	23.757948	275.75415	188.93332	217.88889	96.2	251999	37616.555	372405.25	471.42004	-227.37611	-378.2537	71.70961	1927.2445397377014
543.1599	651.33606	2335.5127	165.301	424.81134	109.03531	660.4364	267.2791	186.55556	139.3	253999	37547.137	371718.06	475.03998	-198.30037	-377.53085	68.8097	1940.255267381668
2390.549	422.716	2813.2651	1967.8331	2756.7424	11.494115	2777.1724	2732.305	857.5	1000.0	255999	37506.695	371317.7	477.3391	-300.97488	-377.06546	67.02195	1959.9985373020172
983.0397	944.5947	3018.3848	161.08229	1879.415	747.2022	3315.5356	1084.1703	320.75	551.9	257999	37567.926	371923.84	480.79767	-224.89604	-377.60233	74.706276	1976.7843506336212
1725.3856	617.9008	2735.167	1054.7347	2633.982	860.04614	3264.985	1228.9688	497.5	818.4	259999	37498.426	371235.78	472.9767	-192.33989	-376.93497	74.896454	1995.242823600769
1272.0775	269.44623	1527.0922	798.2467	2803.4915	620.0349	3151.4883	1102.6553	384.0	899.0	261999	37447.348	370730.16	467.52103	-215.37465	-376.3812	62.602234	2015.2613096237183
1348.6106	122.7389	1557.8268	1246.3445	1646.5676	872.97186	3497.296	1015.17944	416.75	482.6	263999	37417.516	370434.8	466.7008	-299.13855	-376.09543	65.35506	2032.044758796692
1776.397	1038.0468	3230.6763	546.98047	2917.479	721.2222	3236.9514	834.51587	551.25	909.9	265999	37486.61	371118.84	471.45322	-308.23355	-376.7518	68.321266	2051.388917684555
1600.8434	1096.882	3090.6418	481.64404	2486.8315	726.44293	3232.295	1449.8574	538.0	771.9	267999	37466.65	370921.22	465.25406	-176.1036	-376.52557	70.9713	2070.1495900154114
1419.4496	802.2688	3162.1917	757.27545	1944.6787	1065.1154	3065.6296	60.20478	441.66666	639.0	269999	37429.54	370553.84	464.6942	-148.83997	-376.14484	64.185104	2087.4260642528534
1545.9019	626.82263	2581.0623	939.0464	806.3711	47.9267	865.7265	734.00366	450.25	240.1	271999	37404.35	370304.47	464.02142	-205.92303	-375.8535	63.1685	2102.003930568695
1081.0369	180.94806	1438.4493	895.2677	885.9494	6.9531803	897.1651	875.8969	311.14285	260.1	273999	37381.61	370079.3	464.4173	-180.99692	-375.6962	65.29394	2115.5391318798065
991.2293	72.661766	1116.2568	917.6939	992.854	249.8558	1150.3008	260.7303	289.5	304.6	275999	37368.266	369947.16	476.9515	-214.37701	-375.54138	63.98298	2130.2864179611206
1183.608	381.69852	1869.3973	795.8081	1444.0742	536.82184	2258.7334	882.7402	354.0	431.5	277999	37232.246	368600.56	468.24234	-176.16566	-374.08005	60.751205	2145.2346682548523
1001.20044	314.93585	1576.0137	704.5883	1056.2698	61.98198	1200.3588	996.17163	307.16666	320.0	279999	37273.85	369012.44	467.72513	-193.17848	-374.53156	59.445778	2160.014095544815
1263.4781	550.072	2214.9548	900.0489	109.827675	1.4229634	112.76127	107.93458	395.0	58.7	281999	37165.81	367942.84	464.28384	-218.52403	-373.3204	62.886154	2173.3392412662506
1331.4086	911.36725	2775.8135	38.114265	652.30585	11.59781	673.452	636.43994	397.14285	205.8	283999	37103.76	367328.6	463.2926	-213.84329	-372.73282	60.713943	2186.649168252945
